,datetime,latitude,longitude,temperature
1315536,2021-01-01 16:15:00,38.01,-77.97,1.9
506974,2021-01-01 16:35:00,38.527,-77.859,2.5
123150,2021-01-01 16:35:00,38.01,-77.97,1.9
1287008,2021-01-01 16:35:00,38.586,-77.711,2.5
704693,2021-01-01 16:35:00,38.267,-77.449,3.0
644975,2021-01-01 16:35:00,38.398,-77.456,2.5
1345106,2021-01-01 16:47:00,38.847,-77.035,2.0
199841,2021-01-01 16:51:00,38.717,-77.183,2.0
1146265,2021-01-01 16:52:00,38.847,-77.035,2.2
664273,2021-01-01 16:52:00,38.935,-77.447,1.7
1318926,2021-01-01 16:55:00,38.01,-77.97,2.0
650967,2021-01-01 16:55:00,38.398,-77.456,2.6
702574,2021-01-01 16:55:00,38.267,-77.449,3.1
107622,2021-01-01 16:55:00,38.527,-77.859,2.5
933676,2021-01-01 16:55:00,38.586,-77.711,2.6
923162,2021-01-01 16:56:00,38.717,-77.183,2.1
290078,2021-01-01 16:56:00,38.721,-77.515,2.2
663732,2021-01-01 16:56:00,38.504,-77.305,3.3
371285,2021-01-01 17:00:00,38.87,-77.02,2.5
491348,2021-01-01 17:15:00,38.267,-77.449,3.0
1190053,2021-01-01 17:15:00,38.586,-77.711,2.5
497574,2021-01-01 17:15:00,38.01,-77.97,1.8
453607,2021-01-01 17:15:00,38.527,-77.859,2.5
648662,2021-01-01 17:15:00,38.398,-77.456,2.6
922957,2021-01-01 17:16:00,38.717,-77.183,2.0
1199366,2021-01-01 17:28:00,38.717,-77.183,2.0
1115969,2021-01-01 17:32:00,38.847,-77.035,2.8
1083838,2021-01-01 17:35:00,38.398,-77.456,2.7
109667,2021-01-01 17:35:00,38.527,-77.859,2.5
555719,2021-01-01 17:35:00,38.267,-77.449,3.0
1319722,2021-01-01 17:35:00,38.01,-77.97,1.7
93195,2021-01-01 17:35:00,38.586,-77.711,2.3
1350289,2021-01-01 17:44:00,38.721,-77.515,2.0
194963,2021-01-01 17:46:00,38.935,-77.447,2.0
187889,2021-01-01 17:52:00,38.847,-77.035,2.8
191594,2021-01-01 17:52:00,38.935,-77.447,1.7
227281,2021-01-01 17:54:00,38.504,-77.305,3.0
442681,2021-01-01 17:55:00,38.527,-77.859,2.1
742482,2021-01-01 17:55:00,38.586,-77.711,2.3
1325768,2021-01-01 17:55:00,38.267,-77.449,3.0
712425,2021-01-01 17:55:00,38.01,-77.97,1.8
95924,2021-01-01 17:55:00,38.398,-77.456,2.6
1114814,2021-01-01 17:56:00,38.504,-77.305,3.3
923588,2021-01-01 17:56:00,38.717,-77.183,2.4
290823,2021-01-01 17:56:00,38.721,-77.515,2.2
1194253,2021-01-01 18:00:00,38.95,-77.45,1.7
1257105,2021-01-01 18:00:00,38.87,-77.02,2.7
191393,2021-01-01 18:00:00,38.85,-77.033,2.8
200790,2021-01-01 18:05:00,38.717,-77.183,3.0
594958,2021-01-01 18:13:00,38.504,-77.305,3.3
510102,2021-01-01 18:15:00,38.527,-77.859,2.1
963250,2021-01-01 18:15:00,38.586,-77.711,2.5
1325358,2021-01-01 18:15:00,38.398,-77.456,2.6
119080,2021-01-01 18:15:00,38.267,-77.449,2.8
492823,2021-01-01 18:15:00,38.01,-77.97,1.8
226211,2021-01-01 18:20:00,38.504,-77.305,3.3
596500,2021-01-01 18:30:00,38.504,-77.305,3.3
826230,2021-01-01 18:30:00,38.717,-77.183,2.0
849451,2021-01-01 18:32:00,38.717,-77.183,2.0
934087,2021-01-01 18:35:00,38.586,-77.711,2.4
511305,2021-01-01 18:35:00,38.527,-77.859,2.3
710677,2021-01-01 18:35:00,38.01,-77.97,1.8
556402,2021-01-01 18:35:00,38.267,-77.449,3.1
647239,2021-01-01 18:35:00,38.398,-77.456,2.6
922934,2021-01-01 18:37:00,38.717,-77.183,2.0
749049,2021-01-01 18:39:00,38.504,-77.305,3.3
922102,2021-01-01 18:45:00,38.717,-77.183,3.0
227467,2021-01-01 18:46:00,38.504,-77.305,3.3
190178,2021-01-01 18:47:00,38.847,-77.035,3.0
639815,2021-01-01 18:52:00,38.847,-77.035,2.8
916399,2021-01-01 18:52:00,38.935,-77.447,1.7
674686,2021-01-01 18:54:00,38.504,-77.305,3.0
703320,2021-01-01 18:55:00,38.267,-77.449,3.0
95404,2021-01-01 18:55:00,38.398,-77.456,2.6
92859,2021-01-01 18:55:00,38.586,-77.711,2.4
508086,2021-01-01 18:55:00,38.527,-77.859,2.2
122529,2021-01-01 18:55:00,38.01,-77.97,1.8
290732,2021-01-01 18:56:00,38.721,-77.515,2.2
848615,2021-01-01 18:56:00,38.717,-77.183,2.5
750285,2021-01-01 18:56:00,38.504,-77.305,3.3
635575,2021-01-01 19:00:00,38.87,-77.02,2.9
199270,2021-01-01 19:04:00,38.717,-77.183,3.0
921847,2021-01-01 19:09:00,38.717,-77.183,3.0
642110,2021-01-01 19:10:00,38.847,-77.035,2.8
936981,2021-01-01 19:15:00,38.586,-77.711,2.5
703897,2021-01-01 19:15:00,38.267,-77.449,3.0
109076,2021-01-01 19:15:00,38.527,-77.859,2.2
493876,2021-01-01 19:15:00,38.01,-77.97,1.6
1085693,2021-01-01 19:15:00,38.398,-77.456,2.6
640485,2021-01-01 19:20:00,38.847,-77.035,2.8
191776,2021-01-01 19:21:00,38.935,-77.447,1.7
747830,2021-01-01 19:22:00,38.504,-77.305,3.3
1115100,2021-01-01 19:23:00,38.847,-77.035,2.8
199297,2021-01-01 19:24:00,38.717,-77.183,3.0
817426,2021-01-01 19:35:00,38.527,-77.859,2.1
914896,2021-01-01 19:35:00,38.267,-77.449,2.8
973909,2021-01-01 19:35:00,38.398,-77.456,2.6
88307,2021-01-01 19:35:00,38.586,-77.711,2.3
120631,2021-01-01 19:35:00,38.01,-77.97,1.1
1147717,2021-01-01 19:37:00,38.847,-77.035,2.8
190944,2021-01-01 19:52:00,38.847,-77.035,2.8
193948,2021-01-01 19:52:00,38.935,-77.447,1.7
924266,2021-01-01 19:55:00,38.01,-77.97,0.8
508613,2021-01-01 19:55:00,38.527,-77.859,2.0
647158,2021-01-01 19:55:00,38.398,-77.456,2.5
117597,2021-01-01 19:55:00,38.267,-77.449,2.5
958507,2021-01-01 19:55:00,38.586,-77.711,2.0
449218,2021-01-01 19:56:00,38.721,-77.515,2.2
503960,2021-01-01 19:56:00,38.504,-77.305,3.3
828172,2021-01-01 19:56:00,38.717,-77.183,2.8
372470,2021-01-01 20:00:00,38.87,-77.02,2.9
923697,2021-01-01 20:02:00,38.717,-77.183,3.0
841122,2021-01-01 20:05:00,38.935,-77.447,1.7
200625,2021-01-01 20:07:00,38.717,-77.183,3.0
913442,2021-01-01 20:09:00,38.935,-77.447,1.7
593577,2021-01-01 20:10:00,38.504,-77.305,2.8
190697,2021-01-01 20:14:00,38.847,-77.035,3.3
289828,2021-01-01 20:14:00,38.721,-77.515,2.0
706055,2021-01-01 20:15:00,38.267,-77.449,2.1
647963,2021-01-01 20:15:00,38.398,-77.456,2.0
